	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	USER.TIME(%)	SYS.TIME(%)	TCA.MODULO	TOTAL.PG	TCA.FILE.ACCESS	TCR.CREATE	TCR.DROP
	0	15:31:11 07 NOV 2014	21003	3949	3950	3275	0	1	1	0	0	1	15:31:11 07 NOV 2014	25003	3446	3447	2531	0	1	1	0	0	2	15:31:11 07 NOV 2014	27003	3522	3523	2387	0	1	1	0	0	3	15:31:11 07 NOV 2014	26003	3571	3572	3059	0	1	1	0	0	4	15:31:11 07 NOV 2014	31003	3854	3855	3179	0	1	1	0	0	5	15:31:14 07 NOV 2014	500	500	501	500	0	1	1	0	0	3	7	38	64	0	108	33
	0	15:31:19 07 NOV 2014	21003	4052	4053	3275	0	1	1	0	0	1	15:31:19 07 NOV 2014	25003	3556	3557	2531	0	1	1	0	0	2	15:31:19 07 NOV 2014	27003	3775	3774	2387	0	1	1	0	0	3	15:31:19 07 NOV 2014	26003	3659	3660	3059	0	1	1	0	0	4	15:31:19 07 NOV 2014	31003	3955	3956	3179	0	1	1	0	0	5	15:31:21 07 NOV 2014	500	500	501	500	0	1	1	0	0	8	11	38	64	0	108	33
	0	15:31:26 07 NOV 2014	21003	4155	4156	3275	0	1	1	0	0	1	15:31:26 07 NOV 2014	25003	3732	3733	2531	0	1	1	0	0	2	15:31:26 07 NOV 2014	27003	3865	3866	3747	0	1	1	0	0	3	15:31:26 07 NOV 2014	26003	3747	3748	3059	0	1	1	0	0	4	15:31:27 07 NOV 2014	31003	4061	4062	3179	0	1	1	0	0	5	15:31:29 07 NOV 2014	500	500	501	500	0	1	1	0	0	3	5	38	64	0	108	44
	0	15:31:34 07 NOV 2014	21003	4260	4261	3275	0	1	1	0	0	1	15:31:34 07 NOV 2014	25003	3836	3837	3663	0	1	1	0	0	2	15:31:34 07 NOV 2014	27003	3964	3964	3747	0	1	1	0	0	3	15:31:34 07 NOV 2014	26003	3834	3835	3059	0	1	1	0	0	4	15:31:34 07 NOV 2014	31003	4166	4167	3179	0	1	1	0	0	5	15:31:36 07 NOV 2014	500	500	501	500	0	1	1	0	0	1	5	38	64	0	108	55
	0	15:31:41 07 NOV 2014	21003	4522	4523	3275	0	1	1	0	0	1	15:31:41 07 NOV 2014	25003	3942	3941	3663	0	1	1	0	0	2	15:31:41 07 NOV 2014	27003	4062	4063	3747	0	1	1	0	0	3	15:31:42 07 NOV 2014	26003	3925	3926	3059	0	1	1	0	0	4	15:31:42 07 NOV 2014	31003	4350	4351	3179	0	1	1	0	0	5	15:31:44 07 NOV 2014	500	500	501	500	0	1	1	0	0	10	8	38	64	0	130	55
	0	15:31:49 07 NOV 2014	21003	4717	4718	4455	0	1	1	0	0	1	15:31:49 07 NOV 2014	25003	4043	4044	3663	0	1	1	0	0	2	15:31:49 07 NOV 2014	27003	4156	4157	3747	0	1	1	0	0	3	15:31:49 07 NOV 2014	26003	4011	4012	3059	0	1	1	0	0	4	15:31:49 07 NOV 2014	31003	4447	4448	3179	0	1	1	0	0	5	15:31:51 07 NOV 2014	500	500	501	500	0	1	1	0	0	4	2	38	64	0	139	55
	0	15:31:56 07 NOV 2014	21003	4818	4819	4659	0	1	1	0	0	1	15:31:56 07 NOV 2014	25003	4145	4146	3663	0	1	1	0	0	2	15:31:56 07 NOV 2014	27003	4252	4251	3747	0	1	1	0	0	3	15:31:57 07 NOV 2014	26003	4187	4186	3059	0	1	1	0	0	4	15:31:57 07 NOV 2014	31003	4549	4550	4311	0	1	1	0	0	5	15:31:59 07 NOV 2014	500	500	501	500	0	1	1	0	0	6	6	38	64	0	139	55
	0	15:32:04 07 NOV 2014	21003	4911	4912	4659	0	1	1	0	0	1	15:32:04 07 NOV 2014	25003	4253	4254	3663	0	1	1	0	0	2	15:32:04 07 NOV 2014	27003	4349	4350	3747	0	1	1	0	0	3	15:32:04 07 NOV 2014	26003	4314	4315	3059	0	1	1	0	0	4	15:32:04 07 NOV 2014	31003	4650	4651	4311	0	1	1	0	0	5	15:32:06 07 NOV 2014	500	500	501	500	0	1	1	0	0	5	4	38	64	0	139	55
	0	15:32:11 07 NOV 2014	21003	5011	5012	4659	0	1	1	0	0	1	15:32:11 07 NOV 2014	25003	4354	4355	3663	0	1	1	0	0	2	15:32:11 07 NOV 2014	27003	4442	4443	3747	0	1	1	0	0	3	15:32:12 07 NOV 2014	26003	4414	4415	4226	0	1	1	0	0	4	15:32:12 07 NOV 2014	31003	4755	4756	4311	0	1	1	0	0	5	15:32:14 07 NOV 2014	500	500	501	500	0	1	1	0	0	1	2	38	64	0	139	55
	0	15:32:20 07 NOV 2014	21003	5122	5123	4659	0	1	1	0	0	1	15:32:20 07 NOV 2014	25003	4466	4467	3663	0	1	1	0	0	2	15:32:20 07 NOV 2014	27003	4548	4549	3747	0	1	1	0	0	3	15:32:20 07 NOV 2014	26003	4525	4526	4226	0	1	1	0	0	4	15:32:20 07 NOV 2014	31003	4877	4878	4311	0	1	1	0	0	5	15:32:22 07 NOV 2014	500	500	501	500	0	1	1	0	0	3	4	38	64	0	139	55
	0	15:32:27 07 NOV 2014	21003	5220	5221	4659	0	1	1	0	0	1	15:32:27 07 NOV 2014	25003	4563	4564	3663	0	1	1	0	0	2	15:32:27 07 NOV 2014	27003	4645	4646	3747	0	1	1	0	0	3	15:32:27 07 NOV 2014	26003	4622	4623	4226	0	1	1	0	0	4	15:32:27 07 NOV 2014	31003	4973	4974	4311	0	1	1	0	0	5	15:32:30 07 NOV 2014	500	500	501	500	0	1	1	0	0	2	6	38	64	0	139	55
	0	15:32:35 07 NOV 2014	21003	5317	5318	4659	0	1	1	0	0	1	15:32:35 07 NOV 2014	25003	4646	4647	3663	0	1	1	0	0	2	15:32:35 07 NOV 2014	27003	4744	4745	3747	0	1	1	0	0	3	15:32:35 07 NOV 2014	26003	4722	4723	4226	0	1	1	0	0	4	15:32:35 07 NOV 2014	31003	5065	5066	4311	0	1	1	0	0	5	15:32:37 07 NOV 2014	500	500	501	500	0	1	1	0	0	1	3	38	64	0	139	55
	0	15:32:42 07 NOV 2014	21003	5412	5413	4659	0	1	1	0	0	1	15:32:42 07 NOV 2014	25003	4826	4827	3663	0	1	1	0	0	2	15:32:42 07 NOV 2014	27003	4954	4955	3747	0	1	1	0	0	3	15:32:42 07 NOV 2014	26003	4821	4822	4226	0	1	1	0	0	4	15:32:42 07 NOV 2014	31003	5158	5159	4311	0	1	1	0	0	5	15:32:45 07 NOV 2014	500	500	501	500	0	1	1	0	0	5	5	38	64	0	139	55
